fullVisitorId,channelGrouping,hits_time,geoNetwork_country,geoNetwork_city,totals_totalTransactionRevenue,totals_transactions,totals_timeOnSite,totals_pageviews,date,visitId,hits_type,hits_product_productRefundAmount,hits_product_productQuantity,hits_product_productPrice,hits_product_productRevenue,hits_product_productSKU,hits_product_v2ProductName,hits_product_v2ProductCategory,hits_product_productVariant,hits_item_currencyCode,hits_item_itemQuantity,hits_item_itemRevenue,hits_transaction_transactionRevenue,hits_transaction_transactionId,hits_page_pageTitle,hits_page_searchKeyword,hits_page_pagePathLevel1
2542857131677531788,Referral,698637,United States,Santa Clara,450560000,2,805,44,20161130,1480529795,PAGE,,1,10390000,12140000,GGOEGDWR015799,Red Shine 15 oz Mug,Drinkware,Single Option Only,USD,,,64560000,ORD201611303333,Checkout Confirmation,,/ordercompleted.html
2542857131677531788,Referral,698637,United States,Santa Clara,450560000,2,805,44,20161130,1480529795,PAGE,,1,19990000,21740000,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Drinkware,Single Option Only,USD,,,64560000,ORD201611303333,Checkout Confirmation,,/ordercompleted.html
4093426585106843453,Organic Search,2311784,United States,not available in demo dataset,23200000,1,2312,68,20160901,1472749899,PAGE,,1,4990000,5990000,GGOEGOAA017199,Rubber Grip Ballpoint Pen 4 Pack,(not set),Single Option Only,USD,,,23200000,ORD201609011747,Checkout Confirmation,,/ordercompleted.html
4093426585106843453,Organic Search,2311784,United States,not available in demo dataset,23200000,1,2312,68,20160901,1472749899,PAGE,,1,2990000,3990000,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,(not set),Single Option Only,USD,,,23200000,ORD201609011747,Checkout Confirmation,,/ordercompleted.html
4093426585106843453,Organic Search,2311784,United States,not available in demo dataset,23200000,1,2312,68,20160901,1472749899,PAGE,,1,1990000,2990000,GGOEYFKQ020699,YouTube Custom Decals,(not set),Single Option Only,USD,,,23200000,ORD201609011747,Checkout Confirmation,,/ordercompleted.html
4093426585106843453,Organic Search,2311784,United States,not available in demo dataset,23200000,1,2312,68,20160901,1472749899,PAGE,,1,1990000,2990000,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,(not set),Single Option Only,USD,,,23200000,ORD201609011747,Checkout Confirmation,,/ordercompleted.html
1804930412747691262,Referral,758787,United States,Sunnyvale,23200000,1,759,11,20170715,1500155979,PAGE,,2,7600000,23200000,GGOEGAAB033815,Google Men's Vintage Badge Tee Black,Apparel, LG,USD,,,23200000,ORD201707151414,Checkout Confirmation,,/ordercompleted.html
1261020485277406537,Direct,431594,United States,not available in demo dataset,456000000,1,432,14,20161112,1478977121,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD20161112417,Checkout Confirmation,,/ordercompleted.html
4400395336259459282,Direct,2616617,United States,Mountain View,456000000,1,2617,23,20161119,1479600402,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201611191475,Checkout Confirmation,,/ordercompleted.html
8063698292969925613,Direct,472973,United States,not available in demo dataset,456000000,1,1115,36,20161123,1479914570,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201611232416,Checkout Confirmation,,/ordercompleted.html
7817919930484297166,Referral,275667,United States,Mountain View,456000000,1,466,19,20161212,1481601511,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201612123440,Checkout Confirmation,,/ordercompleted.html
9823349391622554015,Direct,181051,India,not available in demo dataset,456000000,1,181,11,20161214,1481764841,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201612142658,Checkout Confirmation,,/ordercompleted.html
0807420467818204727,Referral,426752,United States,Mountain View,456000000,2,659,31,20161216,1481948472,PAGE,,2,149000000,307000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,307000000,ORD201612162903,Checkout Confirmation,,/ordercompleted.html
0807420467818204727,Referral,658898,United States,Mountain View,456000000,2,659,31,20161216,1481948472,PAGE,,1,149000000,158000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,158000000,ORD201612162903,Checkout Confirmation,,/ordercompleted.html
0949623313007822950,Direct,673336,United States,Mountain View,456000000,1,1193,19,20161229,1483032835,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201612291475,Checkout Confirmation,,/ordercompleted.html
8252785363444195411,Direct,250078,United States,not available in demo dataset,456000000,1,250,14,20170111,1484139307,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201701111960,Checkout Confirmation,,/ordercompleted.html
3800275480042054710,Referral,815727,United States,not available in demo dataset,456000000,1,816,19,20170420,1492710534,PAGE,,3,149000000,456000000,GGOENEBD084799,Nest® Learning Thermostat 3rd Gen-USA - Copper,Nest-USA, COPPER,USD,,,456000000,ORD201704202120,Checkout Confirmation,,/ordercompleted.html
7683315810287227955,Referral,1679479,United States,San Jose,456000000,1,1679,49,20170618,1497843018,PAGE,,2,149000000,302500000,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,Nest-USA,Single Option Only,USD,,,456000000,ORD201706181561,Checkout Confirmation,,/ordercompleted.html
7683315810287227955,Referral,1679479,United States,San Jose,456000000,1,1679,49,20170618,1497843018,PAGE,,1,149000000,153500000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201706181561,Checkout Confirmation,,/ordercompleted.html
3084401455849640718,Referral,975381,United States,Mountain View,456000000,1,975,15,20170619,1497898411,PAGE,,3,149000000,456000000,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,Nest-USA,Single Option Only,USD,,,456000000,ORD201706192256,Checkout Confirmation,,/ordercompleted.html
3116139089225934095,Referral,582492,United States,Sunnyvale,456000000,1,582,19,20170619,1497894409,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201706192334,Checkout Confirmation,,/ordercompleted.html
4699481729772613639,Referral,534621,United States,New York,456000000,1,535,9,20170623,1498237872,PAGE,,3,149000000,456000000,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,Nest-USA,Single Option Only,USD,,,456000000,ORD201706231877,Checkout Confirmation,,/ordercompleted.html
8615884096893885605,Referral,313351,United States,Cambridge,456000000,1,1194,21,20170629,1498748154,PAGE,,3,149000000,456000000,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,Single Option Only,USD,,,456000000,ORD201706292574,Checkout Confirmation,,/ordercompleted.html
5409985606814283467,Organic Search,374807,United States,San Francisco,87360000,1,1064,35,20160927,1475030133,PAGE,,2,7190000,18880000,GGOEGDWC020199,Engraved Ceramic Google Mug,(not set),Single Option Only,USD,,,87360000,ORD201609271817,Checkout Confirmation,,/ordercompleted.html
5409985606814283467,Organic Search,374807,United States,San Francisco,87360000,1,1064,35,20160927,1475030133,PAGE,,2,31990000,68480000,GGOEGAEE031015,Google Heavyweight Long Sleeve Hero Tee Burgundy,(not set), LG,USD,,,87360000,ORD201609271817,Checkout Confirmation,,/ordercompleted.html
4876602137205445870,Organic Search,1421485,United States,Jersey City,110560000,1,1421,73,20170529,1496079580,PAGE,,1,36390000,39890000,GGOEGATC060315,Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,Apparel, LG,USD,,,110560000,ORD201705291850,Checkout Confirmation,,/ordercompleted.html
4876602137205445870,Organic Search,1421485,United States,Jersey City,110560000,1,1421,73,20170529,1496079580,PAGE,,3,22390000,70670000,GGOEGEVB071799,Google Pocket Bluetooth Speaker,Electronics,Single Option Only,USD,,,110560000,ORD201705291850,Checkout Confirmation,,/ordercompleted.html
7830344002776874199,Referral,418144,United States,Mountain View,10880000,1,418,10,20160819,1471645662,PAGE,,1,5590000,6590000,GGOEGCBB074199,Google Car Clip Phone Holder,(not set),Single Option Only,USD,,,10880000,ORD201608191227,Checkout Confirmation,,/ordercompleted.html
7830344002776874199,Referral,418144,United States,Mountain View,10880000,1,418,10,20160819,1471645662,PAGE,,1,10390000,11390000,GGOEGESQ016799,Plastic Sliding Flashlight,(not set),Single Option Only,USD,,,10880000,ORD201608191227,Checkout Confirmation,,/ordercompleted.html
7561014297963838461,Referral,1135552,Indonesia,Jakarta,279840000,1,5350,95,20170306,1488857509,PAGE,,16,16990000,279840000,GGOEGAAQ010413,Google Men's 100% Cotton Short Sleeve Hero Tee White,${productitem.product.origCatName}, SM,USD,,,279840000,ORD201703062263,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,1,59990000,60717272,GGOEGADB057315,Google Men's Lightweight Microfleece Jacket Black,Apparel, LG,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,1,59990000,60717272,GGOEGADB057317,Google Men's Lightweight Microfleece Jacket Black,Apparel, 2XL,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,1,59990000,60717272,GGOEGATB060415,Google Women's Quilted Insulated Vest Black,Apparel, LG,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,11,27190000,299817272,GGOEGDHB071999,Google 40 oz Insulated Monster Bottle,Drinkware,Single Option Only,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,1,59990000,60717272,GGOEGAPB058215,Google Women's Lightweight Microfleece Jacket,Apparel, LG,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,3,15190000,46297272,GGOEADHH073999,Android 17oz Stainless Steel Sport Bottle,Drinkware,Single Option Only,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,7,15190000,107057272,GGOEGDHC074099,Google 17oz Stainless Steel Sport Bottle,Drinkware,Single Option Only,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,4,2000000,8727272,GGOEGOAQ012899,Ballpoint LED Light Pen,Office,Single Option Only,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,5,2390000,12677272,GGOEGOBG023599,Colored Pencil Set,Office,Single Option Only,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,1,59990000,60717272,GGOEGAPB058214,Google Women's Lightweight Microfleece Jacket,Apparel, MD,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
4412900685343047350,Referral,3631309,United States,New York,853280000,1,7042,205,20161206,1481058916,PAGE,,1,74390000,75117272,GGOEGAPB057515,Women's Weatherblock Shell Jacket Black,Apparel, LG,USD,,,853280000,ORD201612063251,Checkout Confirmation,,/ordercompleted.html
7970701992007145468,Referral,741816,United States,not available in demo dataset,1140000000,1,742,39,20160828,1472415320,PAGE,,50,1990000,100625000,GGOEGFYQ016599,Foam Can and Bottle Cooler,(not set),Single Option Only,USD,,,1140000000,ORD20160828906,Checkout Confirmation,,/ordercompleted.html
7970701992007145468,Referral,741816,United States,not available in demo dataset,1140000000,1,742,39,20160828,1472415320,PAGE,,50,3500000,176125000,GGOEGHGT019599,Google Sunglasses,(not set), YELLOW,USD,,,1140000000,ORD20160828906,Checkout Confirmation,,/ordercompleted.html
7970701992007145468,Referral,741816,United States,not available in demo dataset,1140000000,1,742,39,20160828,1472415320,PAGE,,50,3500000,176125000,GGOEGHGH019699,Google Sunglasses,(not set), GREEN,USD,,,1140000000,ORD20160828906,Checkout Confirmation,,/ordercompleted.html
7970701992007145468,Referral,741816,United States,not available in demo dataset,1140000000,1,742,39,20160828,1472415320,PAGE,,50,3500000,176125000,GGOEGFAQ016699,Bottle Opener Clip,(not set),Single Option Only,USD,,,1140000000,ORD20160828906,Checkout Confirmation,,/ordercompleted.html
7970701992007145468,Referral,741816,United States,not available in demo dataset,1140000000,1,742,39,20160828,1472415320,PAGE,,50,1500000,76125000,GGOEGPJC019099,7&quot; Dog Frisbee,(not set), BLUE,USD,,,1140000000,ORD20160828906,Checkout Confirmation,,/ordercompleted.html
7970701992007145468,Referral,741816,United States,not available in demo dataset,1140000000,1,742,39,20160828,1472415320,PAGE,,50,3500000,176125000,GGOEGHGC019799,Google Sunglasses,(not set), BLUE,USD,,,1140000000,ORD20160828906,Checkout Confirmation,,/ordercompleted.html
7970701992007145468,Referral,741816,United States,not available in demo dataset,1140000000,1,742,39,20160828,1472415320,PAGE,,50,1500000,76125000,GGOEGPJR018999,7&quot; Dog Frisbee,(not set), RED,USD,,,1140000000,ORD20160828906,Checkout Confirmation,,/ordercompleted.html
7970701992007145468,Referral,741816,United States,not available in demo dataset,1140000000,1,742,39,20160828,1472415320,PAGE,,50,3500000,176125000,GGOEGHGR019499,Google Sunglasses,(not set), RED,USD,,,1140000000,ORD20160828906,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,35,24990000,874792857,GGOEGDHB072199,Google Accent Insulated Stainless Steel Bottle,Drinkware,Single Option Only,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,5,16990000,85092857,GGOEGAEQ027913,Google Women's Short Sleeve Hero Tee White,Apparel, SM,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,35,3990000,139792857,GGOEGOAA017099,Ballpoint Stick Pen 4 Pack,Office,Single Option Only,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,5,16990000,85092857,GGOEGAAQ010417,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, 2XL,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,5,16990000,85092857,GGOEGAEQ027916,Google Women's Short Sleeve Hero Tee White,Apparel, XL,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,10,16990000,170042857,GGOEGAAQ010416,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, XL,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,10,16990000,170042857,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, LG,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,35,1990000,69792857,GGOEAFKQ020499,8 pc Android Sticker Sheet,Office,Single Option Only,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,5,16990000,85092857,GGOEGAAQ010413,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, SM,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,35,69990000,2449792857,GGOEGBRJ037399,Google Rucksack,Bags,Single Option Only,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,35,5990000,209792857,GGOEGOLC014299,Google Metallic Notebook Set,Office,Single Option Only,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,10,16990000,170042857,GGOEGAEQ027915,Google Women's Short Sleeve Hero Tee White,Apparel, LG,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,10,16990000,170042857,GGOEGAEQ027914,Google Women's Short Sleeve Hero Tee White,Apparel, MD,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
7965265156545901045,Direct,341094,United States,not available in demo dataset,4849600000,1,371,26,20161130,1480524350,PAGE,,5,16990000,85092857,GGOEGAAQ010414,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, MD,USD,,,4849600000,ORD201611303249,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,20,1250000,25500000,GGOEGOAR021899,Retractable Ballpoint Pen Red,Office,Single Option Only,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,1,24990000,25490000,GGOEGAER033214,Google Men's Long Sleeve Raglan Cranberry,Apparel, MD,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,2,55990000,112480000,GGOEGAFB035816,Google Men's  Zip Hoodie,Apparel, XL,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,1,18990000,19490000,GGOEGAAJ032615,Google Men's Short Sleeve Badge Tee Charcoal,Apparel, LG,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,1,39990000,40490000,GGOEGAEJ031314,Google Tri-blend Hoodie Grey,Apparel, MD,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,1,16990000,17490000,GGOEGAAR010716,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel, XL,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,1,16990000,17490000,GGOEGAAR010717,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel, 2XL,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,1,24990000,25490000,GGOEGAEC033115,Google Men's Long Sleeve Raglan Ocean Blue,Apparel, LG,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,2,55990000,112480000,GGOEGAFB035815,Google Men's  Zip Hoodie,Apparel, LG,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,1,16990000,17490000,GGOEAAAQ032015,Android Men's Short Sleeve Hero Tee White,Apparel, LG,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,4,16990000,68460000,GGOEGAAQ010416,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel, XL,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
0608915197735218105,Referral,1653743,United States,not available in demo dataset,507840000,1,1654,36,20170113,1484346392,PAGE,,1,24990000,25490000,GGOEGAEC033116,Google Men's Long Sleeve Raglan Ocean Blue,Apparel, XL,USD,,,507840000,ORD201701131867,Checkout Confirmation,,/ordercompleted.html
560643294951530798,Referral,543912,United States,not available in demo dataset,344000000,1,544,16,20170719,1500477508,PAGE,,100,3350000,344000000,GGOEGOLC013299,Spiral Notebook and Pen Set,Office,Single Option Only,USD,,,344000000,ORD201707192331,Checkout Confirmation,,/ordercompleted.html
6815234192194618942,Referral,1147737,United States,New York,203360000,1,1148,60,20160927,1475008146,PAGE,,12,7990000,96880000,GGOEGOAC016199,Executive Twist Ballpoint Pen,(not set),Single Option Only,USD,,,203360000,ORD201609271862,Checkout Confirmation,,/ordercompleted.html
6815234192194618942,Referral,1147737,United States,New York,203360000,1,1148,60,20160927,1475008146,PAGE,,12,8790000,106480000,GGOEGOCB017499,Leatherette Journal,(not set),Single Option Only,USD,,,203360000,ORD201609271862,Checkout Confirmation,,/ordercompleted.html
5805087483556745945,Organic Search,587200,Canada,not available in demo dataset,80480000,1,1034,22,20160830,1472540243,PAGE,,1,10990000,14490000,GGOEYHPB072210,YouTube Twill Cap,(not set),Single Option Only,USD,,,80480000,ORD201608301636,Checkout Confirmation,,/ordercompleted.html
5805087483556745945,Organic Search,587200,Canada,not available in demo dataset,80480000,1,1034,22,20160830,1472540243,PAGE,,1,55990000,59490000,GGOEYAFB073114,YouTube Men's Fleece Hoodie Black,(not set), MD,USD,,,80480000,ORD201608301636,Checkout Confirmation,,/ordercompleted.html
5260253601763943122,Referral,1946986,United States,New York,144640000,1,1947,38,20170516,1494960788,PAGE,,1,1200000,3000000,GGOEGFKA022299,Keyboard DOT Sticker,Office,Single Option Only,USD,,,144640000,ORD201705163244,Checkout Confirmation,,/ordercompleted.html
5260253601763943122,Referral,1946986,United States,New York,144640000,1,1947,38,20170516,1494960788,PAGE,,1,2390000,4190000,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,Single Option Only,USD,,,144640000,ORD201705163244,Checkout Confirmation,,/ordercompleted.html
5260253601763943122,Referral,1946986,United States,New York,144640000,1,1947,38,20170516,1494960788,PAGE,,1,52070000,53870000,GGOEGADB056615,Men's Weatherblock Shell Jacket Black,Apparel, LG,USD,,,144640000,ORD201705163244,Checkout Confirmation,,/ordercompleted.html
5260253601763943122,Referral,1946986,United States,New York,144640000,1,1947,38,20170516,1494960788,PAGE,,1,41590000,43390000,GGOEGAFJ036215,Google Men's Pullover Hoodie Grey,Apparel, LG,USD,,,144640000,ORD201705163244,Checkout Confirmation,,/ordercompleted.html
